source,query_id,passage_num,doc_idx,is_positive_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob,category
sweep,0,7.0,3,False,negative,-0.5625,0,0.0,0.8710961315490384,4.866411738103445,False,0,False,-8.25,neutral
sweep,0,7.0,4,False,negative,-1.125,0,0.0,0.9743863692858646,5.723673018653534,False,0,False,-8.25,neutral
sweep,0,7.0,5,True,positive,-1.375,0,0.0,1.0925474694955748,7.980952170039528,False,0,False,-8.25,neutral
sweep,0,7.0,6,False,negative,-0.875,0,0.0,1.038333284953387,7.1580269810201225,False,0,False,-8.25,neutral
sweep,1,7.0,0,False,negative,-0.125,0,0.0,0.9882381229543206,12.351285218805048,False,0,False,-6.0,neutral
sweep,1,7.0,1,True,positive,-21.5,0,0.0,1.5883460611909908,27.351778770888444,True,0,False,-6.0,confidence-only
sweep,1,7.0,2,True,positive,-9.75,0,0.0,1.076740506211629,14.78211551613127,True,0,False,-6.0,confidence-only
sweep,1,7.0,3,False,negative,0.0,0,0.0,0.4493683516195751,5.5861509224836965,False,0,False,-6.0,neutral
sweep,1,7.0,4,False,negative,0.375,0,0.0,0.5370908628158001,6.8184132559637805,False,0,False,-6.0,neutral
sweep,1,7.0,5,True,positive,-0.09375,0,0.0,0.3106276647505392,4.59020513222812,False,0,False,-6.0,neutral
sweep,1,7.0,6,False,negative,0.5,0,0.0,0.6680773001896995,8.985372341058032,False,0,False,-6.0,neutral
sweep,2,7.0,0,False,negative,-1.90625,0,0.0,1.201589004650803,15.95100894124203,False,0,False,-6.03125,neutral
sweep,2,7.0,1,True,positive,0.03125,0,0.0,0.7453191882569242,10.060597639846964,False,0,False,-6.03125,neutral
sweep,2,7.0,2,False,negative,0.21875,0,0.0,0.7496056995269301,7.250271760435867,False,0,False,-6.03125,neutral
sweep,2,7.0,3,False,negative,-0.03125,0,0.0,0.7756621728623232,6.944238115293268,False,0,False,-6.03125,neutral
sweep,2,7.0,4,True,positive,-0.9375,0,0.0,1.4307176453951265,13.940513287280806,False,0,False,-6.03125,neutral
sweep,2,7.0,5,False,negative,0.125,0,0.0,0.9510914433642692,8.85356996462056,False,0,False,-6.03125,neutral
sweep,3,7.0,0,False,negative,-21.09375,1,0.0,2.355148560848272,22.65023061750742,True,1,True,-4.15625,helpful-important
sweep,3,7.0,1,True,positive,0.453125,0,0.0,0.9512864446607155,9.865113507932763,False,1,True,-4.15625,neutral
sweep,3,7.0,2,True,positive,-1.0625,1,0.0,1.4147819287255727,16.71646390969819,True,1,True,-4.15625,fact-only
sweep,3,7.0,3,False,negative,0.09375,1,0.0,0.5378852856766283,8.207520140173974,True,1,True,-4.15625,fact-only
sweep,3,7.0,4,False,negative,-0.3125,1,0.0,0.5378979936244492,6.878762900534588,True,1,True,-4.15625,fact-only
sweep,3,7.0,5,True,positive,0.21875,0,0.0,0.6586085882149554,8.260361049108498,False,1,True,-4.15625,neutral
sweep,3,7.0,6,False,negative,-0.28125,1,0.0,0.7334005769051917,10.073290469230688,True,1,True,-4.15625,fact-only
sweep,4,7.0,0,False,negative,-4.0625,0,0.0,1.5919430533933308,12.29957029386505,True,0,False,-4.5,confidence-only
sweep,4,7.0,1,True,positive,-1.125,0,0.0,1.7678038952946011,15.976381630313314,False,0,False,-4.5,neutral
sweep,4,7.0,2,True,positive,-40.0,0,0.0,2.543494050375687,28.012791886193305,True,0,False,-4.5,confidence-only
sweep,4,7.0,3,False,negative,-0.6875,0,0.0,1.1969361662194984,8.51429171246321,False,0,False,-4.5,neutral
sweep,4,7.0,4,False,negative,-2.125,0,0.0,1.1840485083460108,7.316935896825888,True,0,False,-4.5,confidence-only
sweep,4,7.0,5,True,positive,-2.0625,0,0.0,0.527982167473583,7.441230594843848,True,0,False,-4.5,confidence-only
sweep,4,7.0,6,False,negative,-1.25,0,0.0,1.1531439587589865,7.431889674106488,False,0,False,-4.5,neutral
sweep,5,7.0,0,False,negative,0.1015625,0,0.0,0.4718099482405588,5.64143758466736,False,0,False,-1.328125,neutral
sweep,5,7.0,1,True,positive,0.28125,0,0.0,1.500001558111297,11.951768529578365,False,0,False,-1.328125,neutral
sweep,5,7.0,2,True,positive,0.1328125,0,0.0,0.8212179030262283,10.26183005264341,False,0,False,-1.328125,neutral
sweep,5,7.0,3,False,negative,0.296875,0,0.0,1.448388165051267,9.185211064065845,False,0,False,-1.328125,neutral
sweep,5,7.0,4,False,negative,0.52734375,0,0.0,1.0849727418113777,7.660929384276323,False,0,False,-1.328125,neutral
sweep,5,7.0,5,True,positive,-0.84375,0,0.0,1.4675177377110726,8.41188228670068,False,0,False,-1.328125,neutral
sweep,5,7.0,6,False,negative,0.0703125,0,0.0,0.5140828907956787,6.055093976574688,False,0,False,-1.328125,neutral
sweep,6,7.0,0,False,negative,-0.34375,0,0.0,1.233642371513268,11.530685127775923,False,0,False,-2.5625,neutral
sweep,6,7.0,1,True,positive,-1.59375,0,0.0,1.242026141817302,8.598809816697628,False,0,False,-2.5625,neutral
sweep,6,7.0,2,False,negative,0.03125,0,0.0,0.6529792261384771,5.414497229126939,False,0,False,-2.5625,neutral
sweep,6,7.0,3,False,negative,-0.234375,0,0.0,0.7198341137474769,6.346291247428877,False,0,False,-2.5625,neutral
sweep,6,7.0,4,True,positive,-0.078125,0,0.0,1.5849655987742195,9.151464867911818,False,0,False,-2.5625,neutral
sweep,6,7.0,5,False,negative,-0.671875,0,0.0,1.0416846500290575,7.110154282085516,False,0,False,-2.5625,neutral
sweep,7,7.0,0,False,negative,0.15625,0,0.0,0.4529260296284883,8.4641095529916,False,0,False,-3.09375,neutral
sweep,7,7.0,1,True,positive,-1.6875,0,0.0,1.2969160625870393,14.946109976233595,False,0,False,-3.09375,neutral
sweep,7,7.0,2,True,positive,-1.125,0,0.0,1.035014582776984,12.322097912254028,False,0,False,-3.09375,neutral
sweep,7,7.0,3,False,negative,0.25,0,0.0,0.5869223210768648,7.306804565599931,False,0,False,-3.09375,neutral
sweep,7,7.0,4,False,negative,0.21875,0,0.0,0.4975983478826453,6.889963476482261,False,0,False,-3.09375,neutral
sweep,7,7.0,5,True,positive,-1.375,0,0.0,1.233177629283903,13.040663546696935,False,0,False,-3.09375,neutral
sweep,7,7.0,6,False,negative,-0.3125,0,0.0,1.0433937189669324,11.634051514509734,False,0,False,-3.09375,neutral
sweep,8,7.0,0,False,negative,-3.4375,0,0.0,1.6418428117042707,18.55720113148157,True,0,False,-10.6875,confidence-only
sweep,8,7.0,1,True,positive,0.5625,0,0.0,1.040696747371671,9.321646965148558,False,0,False,-10.6875,neutral
sweep,8,7.0,2,True,positive,-0.9375,-1,0.0,0.6607898704259065,6.614929864523285,False,0,False,-10.6875,harmful-weak
sweep,8,7.0,3,False,negative,-2.5625,0,0.0,0.8989489414417897,9.888230236022409,True,0,False,-10.6875,confidence-only
sweep,8,7.0,4,False,negative,-0.9375,-1,0.0,0.644582220029776,6.890628068007295,False,0,False,-10.6875,harmful-weak
sweep,8,7.0,5,True,positive,-0.9375,0,0.0,0.7800214748351512,6.855417960412174,False,0,False,-10.6875,neutral
sweep,8,7.0,6,False,negative,-0.625,-1,0.0,0.6557337687723633,7.363682614768961,False,0,False,-10.6875,harmful-weak
sweep,9,7.0,0,False,negative,0.3125,0,0.0,0.8058904732064034,8.287419624209283,False,0,False,-4.75,neutral
sweep,9,7.0,1,True,positive,0.5,0,0.0,1.5990852408000629,13.13156136137774,False,0,False,-4.75,neutral
sweep,9,7.0,2,True,positive,-16.5,0,0.0,2.2885131148839903,32.91431518327448,True,0,False,-4.75,confidence-only
sweep,9,7.0,3,False,negative,-0.625,0,0.0,0.5823385937605693,5.93332457254805,False,0,False,-4.75,neutral
sweep,9,7.0,4,False,negative,-0.0625,0,0.0,0.2129392496722806,2.152385655022479,False,0,False,-4.75,neutral
sweep,9,7.0,5,True,positive,-0.4375,0,0.0,0.9691930510646553,9.431762026087457,False,0,False,-4.75,neutral
sweep,9,7.0,6,False,negative,0.09375,0,0.0,0.2403838569348842,3.049468978770167,False,0,False,-4.75,neutral
sweep,0,10.0,0,True,positive,-23.75,0,0.0,0.9908392421028508,10.319342919646768,True,0,False,-40.25,confidence-only
sweep,0,10.0,1,False,negative,-0.25,0,0.0,0.4799212387818604,5.68383814383944,False,0,False,-40.25,neutral
sweep,0,10.0,2,True,positive,-23.25,0,0.0,0.6425243393484963,7.374087374461197,True,0,False,-40.25,confidence-only
sweep,0,10.0,3,True,positive,0.25,-1,0.0,0.2870680066916926,3.020519347756102,False,0,False,-40.25,harmful-weak
sweep,0,10.0,4,True,positive,-11.75,0,0.0,0.4916683832489487,6.412559562503829,True,0,False,-40.25,confidence-only
sweep,0,10.0,5,False,negative,1.5,0,0.0,0.2127952660610471,3.2756463762144485,False,0,False,-40.25,neutral
sweep,0,10.0,6,False,negative,1.0,0,0.0,0.3727145315273035,3.680128501741729,False,0,False,-40.25,neutral
sweep,0,10.0,7,True,positive,-11.0,0,0.0,0.6001185622931204,6.094658483938448,True,0,False,-40.25,confidence-only
sweep,0,10.0,8,False,negative,1.0,-1,0.0,0.4080520789508515,3.253792318493576,False,0,False,-40.25,harmful-weak
sweep,0,10.0,9,False,negative,1.5,0,0.0,0.4050520860604822,3.791096545611121,False,0,False,-40.25,neutral
sweep,1,10.0,0,True,positive,-1.375,0,0.0,1.0638125883216514,14.350887466580367,False,0,False,-13.625,neutral
sweep,1,10.0,1,True,positive,-0.25,0,0.0,0.8402661732249311,14.10521461096666,False,0,False,-13.625,neutral
sweep,1,10.0,2,True,positive,-8.375,0,0.0,0.8868203983997278,16.450870102334175,True,0,False,-13.625,confidence-only
sweep,1,10.0,3,False,negative,-0.3125,0,0.0,0.4524142807501847,6.323426279037482,False,0,False,-13.625,neutral
sweep,1,10.0,4,False,negative,-0.6875,0,0.0,0.3619127952348494,5.657520559846732,False,0,False,-13.625,neutral
sweep,1,10.0,5,False,negative,-0.9375,0,0.0,0.2269940008257099,4.240421046506426,False,0,False,-13.625,neutral
sweep,1,10.0,6,True,positive,-0.4375,0,0.0,0.3774757835956275,5.661529635221921,False,0,False,-13.625,neutral
sweep,1,10.0,7,False,negative,-0.5625,0,0.0,0.3837092643054556,5.911538126172436,False,0,False,-13.625,neutral
sweep,1,10.0,8,True,positive,-16.25,0,0.0,1.311488289121429,17.906386623520948,True,0,False,-13.625,confidence-only
sweep,1,10.0,9,False,negative,0.4375,0,0.0,0.5184983716552822,7.37735912497685,False,0,False,-13.625,neutral
sweep,2,10.0,0,False,negative,-0.078125,0,0.0,1.266309078613226,11.061794005584789,False,1,True,-2.890625,neutral
