source,query_id,passage_num,doc_idx,is_gt_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob,is_positive_doc
sweep,8,7.0,6,False,counter-factual,-3.3125,0,0.0,0.735838020102912,8.76454818750012,True,0,False,-7.0,
sweep,9,7.0,0,False,counter-factual,-17.03125,0,0.0,2.2542930710602445,25.726150419097273,True,0,False,-7.09375,
sweep,9,7.0,1,False,counter-factual,0.0625,0,0.0,0.6707476018557611,10.115503843848906,False,0,False,-7.09375,
sweep,9,7.0,2,True,ground-truth,0.375,0,0.0,0.6590076617280939,10.483867793517716,False,0,False,-7.09375,
sweep,9,7.0,3,False,counter-factual,-8.84375,-1,0.0,1.6950679537424806,15.6296930245322,True,0,False,-7.09375,
sweep,0,10.0,0,False,counter-factual,-0.40625,0,0.0,0.7547403083522387,9.290359892287492,False,0,False,-1.5703125,
sweep,0,10.0,1,False,counter-factual,-0.8984375,0,0.0,1.451743409793806,10.993620718934093,False,0,False,-1.5703125,
sweep,0,10.0,2,False,counter-factual,0.25,-1,0.0,1.4205872005121212,9.42845165122647,True,0,False,-1.5703125,
sweep,0,10.0,3,False,counter-factual,-0.3671875,0,0.0,0.502880641602642,6.484385851713831,False,0,False,-1.5703125,
sweep,0,10.0,4,True,ground-truth,0.203125,0,0.0,1.385511125448801,8.992270639426591,False,0,False,-1.5703125,
sweep,0,10.0,5,False,counter-factual,-0.5390625,0,0.0,1.4033253748496122,9.746479236363182,False,0,False,-1.5703125,
sweep,1,10.0,0,False,counter-factual,-10.0,1,0.0,0.8209948895769129,13.748931952035411,True,1,True,-13.0,
sweep,1,10.0,1,False,counter-factual,-2.375,0,0.0,0.4899276224627539,8.793872099982202,True,1,True,-13.0,
sweep,1,10.0,2,False,counter-factual,0.0,1,0.0,0.4522019382147195,8.971897662860512,True,1,True,-13.0,
sweep,1,10.0,3,False,counter-factual,-0.625,0,0.0,0.48391570406615303,8.711753291196155,False,1,True,-13.0,
sweep,1,10.0,4,False,counter-factual,0.5,1,0.0,0.2578644824935848,6.354278374805872,True,1,True,-13.0,
sweep,1,10.0,5,False,counter-factual,-2.75,0,0.0,0.4670803124614978,9.959899779657912,True,1,True,-13.0,
sweep,1,10.0,6,False,counter-factual,0.375,1,0.0,0.19968429042626684,3.046756071973513,True,1,True,-13.0,
sweep,1,10.0,7,False,counter-factual,-0.3125,1,0.0,0.44946447836061565,12.830817409757188,True,1,True,-13.0,
sweep,1,10.0,8,True,ground-truth,-1.0625,1,0.0,0.3683725338897383,6.975252900975866,True,1,True,-13.0,
sweep,1,10.0,9,False,counter-factual,0.1875,0,0.0,0.5221418343379082,7.896343842985147,False,1,True,-13.0,
sweep,2,10.0,0,False,counter-factual,-2.1953125,0,0.0,2.5788181934932717,24.59289341725909,True,0,False,-0.4453125,
sweep,2,10.0,1,False,counter-factual,-0.0546875,0,0.0,1.3197522701100364,13.3892068404313,False,0,False,-0.4453125,
sweep,2,10.0,2,True,ground-truth,-0.1953125,0,0.0,1.7442130830237634,13.722920444152209,False,0,False,-0.4453125,
sweep,3,10.0,0,False,counter-factual,-0.28125,0,0.0,0.9736271287102884,8.808832454542156,False,0,False,-3.125,
sweep,3,10.0,1,False,counter-factual,-0.046875,0,0.0,0.6189614785552819,6.845855681781946,False,0,False,-3.125,
sweep,3,10.0,2,False,counter-factual,0.328125,0,0.0,0.6583423862032138,7.034496571635094,False,0,False,-3.125,
sweep,3,10.0,3,False,counter-factual,0.03125,0,0.0,0.5488497148607753,5.358076803236321,False,0,False,-3.125,
